path,kind,module,revision,step,substep_id,status,method,evidence,reason
.agent-toolkit.json,text,.agent-toolkit.json,e428365f005720e7c7061a90a1aa47e13e54266ee939c5165a6a971117decdc3,01,01-S03,已检查,全文阅读+grep 引用核验,evidence/root-review.md#root,agent-toolkit 拉取清单：登记 6 个从 Jackzz119/agent-toolkit 拉入 .claude/skills 的 skill（blender-create/custom-skill/feature/intj/logman/vc）及 sourceCommit/contentHash/pulledAt；使用者：外部 agent-toolkit 同步工具；人；判定：当前有效
.env.example,text,.env.example,9030e6aee8c96c27b7ba1179f0908c8153091a464ca16df4b992ac34a3418ac8,01,01-S03,已检查,全文阅读+grep 引用核验,evidence/root-review.md#root,环境变量模板：VITE_SUPABASE_URL/ANON_KEY + 开发开关 VITE_DEV/VITE_DEV_EMAIL/VITE_DEV_PASSWORD/VITE_AUTO_ENTER，注释解释 dev 自动登录是真实 signInWithPassword；使用者：开发者（cp 成 .env.local）；README.md §1；判定：当前有效
.gitignore,text,.gitignore,09832dc0e7fbecac69dfb738dfb39ec65c1d70d7ffd0e58c533d441d9fe18983,01,01-S03,已检查,全文阅读+grep 引用核验,evidence/root-review.md#root,忽略规则：日志、node_modules、dist、*.local、编辑器、.mcp.json、.claude/settings.local.json、.env、*.blend1、__pycache__/；使用者：git；判定：当前有效（规则）；2 处历史遗留冲突
.prettierrc,text,.prettierrc,eb5ca03b501a76400a571a6a794e12eb4dc6d6bea82401bb3619c7db9f364c74,01,01-S03,已检查,全文阅读+grep 引用核验,evidence/root-review.md#root,Prettier 配置：4 空格、120 列、单引号、无尾逗号、LF；使用者：pnpm format；所有代码文件；判定：当前有效
AGENTS.md,text,AGENTS.md,70acd60453a8dda824e39e0159be347e87fc8ed05e3270a964b7fe3ced8cb451,01,01-S03,已检查,全文阅读（受保护，仅记录规则，不提修改）,evidence/root-review.md#protected,跨 agent 通用工作协议（Claude/Codex 通用）：上下文准备、skill 触发表（含 ui-tailor/monet/skill-installer）、Codex skill 位置（.agents/skills/）、文档分工（PROJECT/TODO/Features）、命名/日志/代码修改/auto 模式报告规则；使用者：所有 AI agent；判定：当前有效
CLAUDE.md,text,CLAUDE.md,d644db3163391150eb42400e8bb23d3606e496cb6b9f996486375521374ff638,01,01-S03,已检查,全文阅读（受保护，仅记录规则，不提修改）,evidence/root-review.md#protected,Claude 专属工作协议：与 AGENTS.md 同源的上下文准备/skill 触发表/文档维护/命名/日志/代码修改/auto 模式报告规则；无 ui-tailor/monet 行；使用者：Claude Code；判定：当前有效
README.md,text,README.md,bd1db60d624c1d73d5c32617154d2861d042a562ab7d17ba3adf426dc020050b,01,01-S03,已检查,全文阅读+grep 引用核验,evidence/root-review.md#root；第一步修改后由审核复读（压缩稿/修正稿全文）,项目 README，但内容是 Vite+React+Supabase「todos」模板说明（服务层/hook/SQL 建 todos 表/下一步）；使用者：新开发者/GitHub 首页；判定：已作废内容（文件本身应保留并重写）
ai/Features/chat.md,text,ai/Features,7de969a99b612ccbf6e1f64d21c46fe4fb9184cf4074945a60a3aee9ddec73e1,01,01-S05,已检查,全文阅读+grep 引用核验+对照源码/磁盘,evidence/ai-core-review.md#1-逐文件用途判定表；第一步修改后由审核复读（压缩稿/修正稿全文）,聊天数据层/架构原则真源，在役；src 6 文件注释指向；关联 sidebar/channel.md 已知断链（F2）
ai/Features/navigation-glass.md,text,ai/Features,119a5c7b84c8cd4ec5e0c6312cdd33f7f5023d5bc3dc911e7abd8611d5d5f73a,01,01-S05,已检查,全文阅读+grep 引用核验+对照源码/磁盘,evidence/ai-core-review.md#3-跨文档重复地图与建议权威位置；第一步修改后由审核复读（压缩稿/修正稿全文）,导航玻璃机制事实真源，在役；被 PROJECT/TODO/design_system 6 处引用；ui-system.md §2.1 复述其机制
ai/Features/supabase.md,text,ai/Features,956e521f75de122a15f1c72fea4c010fd786f6a28faf62b31e5b93dd2fd63673,01,01-S05,已检查,全文阅读+grep 引用核验+对照源码/磁盘,evidence/ai-core-review.md#1-逐文件用途判定表；第一步修改后由审核复读（压缩稿/修正稿全文）,2026-07-04 后端审计快照+MCP 令牌失效记录；待回填后接管后端结构唯一真源，与 PROJECT/TODO 约定一致
