path,kind,revision,substep_id,status,method,evidence,reason
.agent-toolkit.json,text,e428365f005720e7c7061a90a1aa47e13e54266ee939c5165a6a971117decdc3,01-S03,已检查,全文阅读+grep 引用核验,evidence/root-review.md#root,agent-toolkit 拉取清单：登记 6 个从 Jackzz119/agent-toolkit 拉入 .claude/skills 的 skill（blender-create/custom-skill/feature/intj/logman/vc）及 sourceCommit/contentHash/pulledAt；使用者：外部 agent-toolkit 同步工具；人；判定：当前有效
.env.example,text,9030e6aee8c96c27b7ba1179f0908c8153091a464ca16df4b992ac34a3418ac8,01-S03,已检查,全文阅读+grep 引用核验,evidence/root-review.md#root,环境变量模板：VITE_SUPABASE_URL/ANON_KEY + 开发开关 VITE_DEV/VITE_DEV_EMAIL/VITE_DEV_PASSWORD/VITE_AUTO_ENTER，注释解释 dev 自动登录是真实 signInWithPassword；使用者：开发者（cp 成 .env.local）；README.md §1；判定：当前有效
.gitignore,text,09832dc0e7fbecac69dfb738dfb39ec65c1d70d7ffd0e58c533d441d9fe18983,01-S03,已检查,全文阅读+grep 引用核验,evidence/root-review.md#root,忽略规则：日志、node_modules、dist、*.local、编辑器、.mcp.json、.claude/settings.local.json、.env、*.blend1、__pycache__/；使用者：git；判定：当前有效（规则）；2 处历史遗留冲突
.prettierrc,text,eb5ca03b501a76400a571a6a794e12eb4dc6d6bea82401bb3619c7db9f364c74,01-S03,已检查,全文阅读+grep 引用核验,evidence/root-review.md#root,Prettier 配置：4 空格、120 列、单引号、无尾逗号、LF；使用者：pnpm format；所有代码文件；判定：当前有效
AGENTS.md,text,70acd60453a8dda824e39e0159be347e87fc8ed05e3270a964b7fe3ced8cb451,01-S03,已检查,全文阅读（受保护，仅记录规则，不提修改）,evidence/root-review.md#protected,跨 agent 通用工作协议（Claude/Codex 通用）：上下文准备、skill 触发表（含 ui-tailor/monet/skill-installer）、Codex skill 位置（.agents/skills/）、文档分工（PROJECT/TODO/Features）、命名/日志/代码修改/auto 模式报告规则；使用者：所有 AI agent；判定：当前有效
CLAUDE.md,text,d644db3163391150eb42400e8bb23d3606e496cb6b9f996486375521374ff638,01-S03,已检查,全文阅读（受保护，仅记录规则，不提修改）,evidence/root-review.md#protected,Claude 专属工作协议：与 AGENTS.md 同源的上下文准备/skill 触发表/文档维护/命名/日志/代码修改/auto 模式报告规则；无 ui-tailor/monet 行；使用者：Claude Code；判定：当前有效
README.md,text,bd1db60d624c1d73d5c32617154d2861d042a562ab7d17ba3adf426dc020050b,01-S03,已检查,全文阅读+grep 引用核验,evidence/root-review.md#root；第一步修改后由审核复读（压缩稿/修正稿全文）,项目 README，但内容是 Vite+React+Supabase「todos」模板说明（服务层/hook/SQL 建 todos 表/下一步）；使用者：新开发者/GitHub 首页；判定：已作废内容（文件本身应保留并重写）
eslint.config.js,text,bc29c6921cc9d18efbe76835600bf69378a3ab7c6bc547772385e428fa6dd841,01-S03,已检查,全文阅读+grep 引用核验,evidence/root-review.md#root,"ESLint 9 flat config：只 lint **/*.{ts,tsx}，忽略 dist；三条 warn 规则；使用者：pnpm lint；判定：当前有效"
index.html,text,ae19b5d177b6942cf92f5a04112f7c11ca0126f2598c734a1966c105ac1d44e7,01-S03,已检查,全文阅读+grep 引用核验,evidence/root-review.md#root,Vite 入口：favicon /vite.svg、Google Fonts（Baloo 2 + Noto Sans SC，src/themes/cinnaglass/cinnaglass.css 等 4 文件使用）、标题「我们的小世界 · Our World」、挂载 /src/main.tsx；使用者：Vite dev/build；判定：当前有效（favicon 为模板 logo，见 F-09）
package.json,text,2f4854eadf8d35455fe919d0484c87b5445b45831aad8aca448527abb1277c10,01-S03,已检查,全文阅读+grep 引用核验,evidence/root-review.md#root,依赖与脚本清单：dev/dev2(5174)/build/lint/preview/format；deps 含 @react-three/rapier（src 零引用）、page-flip 2.0.7（仅被未挂载的 journal-book.tsx 引用）、pixi.js/pixi-filters/supabase/react/router；使用者：pnpm/Vite/TS；判定：当前有效；含 2 项可清理依赖（F-04/F-05）
patches/page-flip@2.0.7.patch,text,333ac2e280de6ddda4baf0936a68846e8dcfb1c1adfaa190b6ac7a32564f195e,01-S03,已检查,全文差分解析（difflib 对比 -/+ 单行）+ 引用核验,evidence/root-review.md#patches,"pnpm 补丁：改 dist/js/page-flip.browser.js（压缩单行）——render() 帧索引 Math.max(0,…) 防负；start() 幂等（owRunning）、重置 timer=performance.now()、仅在动画中或 state≠read 时继续 rAF；新增 stop() 取消 rAF；使用者：pnpm install（经 pnpm-workspace.yaml/lockfile hash）；判定：已完成历史（随 F-05 决定）"
pnpm-lock.yaml,text,5217dbfaf7d4cc4cb06b0490edc6eb858998b05d4dd674a63344f1c01b7f2f98,01-S03,已检查,生成文件：结构化检索（importers/patchedDependencies/packages 段）+ 与 package.json 程序化对照；未逐行通读 89KB 全文,evidence/root-review.md#root,pnpm v9 锁文件：importers 与 package.json 完全一致；patchedDependencies 记录 page-flip 补丁 hash；经 rapier 间接锁入 three@0.185.1、@react-three/fiber 9.6.1、three-stdlib；使用者：pnpm install；判定：当前有效（随 F-04/F-05 变化）
pnpm-workspace.yaml,text,be186525c2b0eb75f89b2917212e2528269f3c4727e9cf11bf8af0178996fb44,01-S03,已检查,全文阅读+grep 引用核验,evidence/root-review.md#root,pnpm 配置：patchedDependencies page-flip@2.0.7 → patches/page-flip@2.0.7.patch；使用者：pnpm install；判定：当前有效（绑定 F-05）
public/avatars/blue.png,binary,e70df19d7fee97e0c077ca019eb94698a7697a1f744a9f82637832ecf88c8c33,01-S03,已检查,元数据（file/sips 尺寸、大小、sha256）+ 消费者引用核验（grep src/CSS url()/scripts/ai 文档/manifest）,evidence/root-review.md#public,默认头像（蓝）256² RGBA；使用者：src/themes/cinnaglass/screens.tsx、shell/chat-card.tsx；3 个 check 脚本当上传夹具；判定：当前有效
public/avatars/pink.png,binary,2d4979c95b0841711c91fd1b9d6eed73b5250b1e42f54a18c0456a32f9fb8e11,01-S03,已检查,元数据（file/sips 尺寸、大小、sha256）+ 消费者引用核验（grep src/CSS url()/scripts/ai 文档/manifest）,evidence/root-review.md#public,默认头像（粉）256² RGBA；使用者：screens.tsx、chat-card.tsx；判定：当前有效
