path,kind,revision,substep_id,status,method,evidence,reason
src/main.tsx,text,abd0dec1ab9ba37d6681de863c11f56c7696c4b455c1b0825dc8ff224810ece6,01-S04,已检查,全文阅读+grep 引用核验+tsc 全量类型检查,evidence/src-review.md#entry,React 入口，index.html 唯一脚本；引入全局 CSS 与 image-slot 自定义元素。
src/App.tsx,text,7dd3ef5732cca087b0437756549581fc12ac6b75f8119dfc5a00a88792d47c90,01-S04,已检查,全文阅读+grep 引用核验+tsc 全量类型检查,evidence/src-review.md#entry,路由表，被 main.tsx 挂载。
src/index.css,text,7bdfae229f3d04c6eb23ce62f889f4f09d660df3f3684a652f6b47c11ae410d4,01-S04,已检查,全文阅读+grep 引用核验,evidence/src-review.md#entry,全局 reset，main.tsx 引入。
src/pages/ProtectedRoute.tsx,text,cd09b80fb02dcdd7ce9c758ea5d9df2940c3a5659ff1b39da32084ddc0e54767,01-S04,已检查,全文阅读+grep 引用核验+tsc 全量类型检查,evidence/src-review.md#pages,路由守卫 + dev 自动登录，App.tsx 使用。
src/pages/LoginPage.tsx,text,5126e95706ef2a8c506db8a2f36ea3648aeedd6d01ea57d410a670a0a8a21294,01-S04,已检查,全文阅读+grep 引用核验+tsc 全量类型检查,evidence/src-review.md#pages,登录页，App.tsx 路由 /login。
src/pages/LoginPage.module.css,text,8363f0af524e3ac881bd06def8039ab5e909b453fcf2b40f5556f1f2e8855305,01-S04,已检查,全文阅读+grep 引用核验,evidence/src-review.md#pages,两页共用的 CSS Module。
src/pages/ResetPasswordPage.tsx,text,64e6f4224a4d44973c09f9427d21127089ef66de140087c534ba8552c9a43a85,01-S04,已检查,全文阅读+grep 引用核验+tsc 全量类型检查,evidence/src-review.md#pages,重置密码页，App.tsx 路由 /reset-password。
src/pages/WorldPage.tsx,text,6eb53d060f465369e9f5634f17033c465f0c99dccbefcd6736f30378263cb204,01-S04,已检查,全文阅读+grep 引用核验+tsc 全量类型检查,evidence/src-review.md#pages,世界页根组件；注释中 ai/UX.md §/channel.md/S-4 引用已失效，见 F5。
src/hooks/useAuth.ts,text,6979905a443a2e372c681012c904304860e354fd87437fb05a3835d087c45ec1,01-S04,已检查,全文阅读+grep 引用核验+tsc 全量类型检查,evidence/src-review.md#hooks,会话 hook，两处使用。
src/hooks/useFeed.ts,text,63e33f66c4c608710c63a5523e429b852bc75e0447a6528866f0cf8a463f1282,01-S04,已检查,全文阅读+grep 引用核验+tsc 全量类型检查,evidence/src-review.md#hooks,feed hook，screens.tsx 调用；类型被两个书本组件引用。
